Subject,Task,Winner,WinnerPosterior,NULL__UNC_INTRA_ONLY,NULL__UNC_FLEX,RELAY__UNC_INTRA_ONLY,RELAY__UNC_FLEX,DIRECT__UNC_INTRA_ONLY,DIRECT__UNC_FLEX,SENSORY_RELAY__UNC_INTRA_ONLY,SENSORY_RELAY__UNC_FLEX
sub-03,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999999976153047,2.8721305782365374e-43,2.1881667987997716e-20,1.1439067619953933e-42,2.3846952249105197e-09,3.254309788019615e-39,3.678996201110701e-17,2.6386557507658443e-35,0.9999999976153047
sub-03,MDOG,SENSORY_RELAY__UNC_FLEX,0.9999999942911113,6.615023382107922e-58,8.62840868487193e-39,1.823280088214495e-36,5.708885697652856e-09,7.988723439267944e-44,2.9109820392329557e-15,2.652933462899109e-30,0.9999999942911113
sub-03,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999330817863519,1.4116908672235237e-19,6.6631373429059185e-09,1.8512928036572083e-17,6.662019451641968e-05,2.3706273075122168e-18,2.9134858038546644e-07,7.413922926025695e-12,0.9999330817863519
sub-03,MGOG,RELAY__UNC_FLEX,1.0,6.145263262914601e-260,3.4761389902154856e-159,1.057021916520255e-179,1.0,3.93516824290505e-234,6.3045086587686415e-105,3.482387570669249e-194,9.044470314759205e-73
sub-04,MDOD,NULL__UNC_FLEX,0.9551787633321593,2.149699147800795e-43,0.9551787633321593,5.246619432297026e-44,1.9539897255726826e-07,1.4804759412108325e-47,1.8883725803493542e-12,1.2268035741156412e-47,0.04482104126697964
sub-04,MDOG,SENSORY_RELAY__UNC_FLEX,1.0,4.3441510431976385e-87,1.0384519751358144e-72,9.655480761498888e-51,2.5853930748101694e-22,1.3267978200116719e-62,8.098878629701693e-40,3.603880441274035e-58,1.0
sub-04,MGOD,RELAY__UNC_FLEX,0.999999999999845,1.9419000918244073e-21,1.3954549559433695e-15,1.0376150351136005e-15,0.999999999999845,4.430668714842216e-26,5.6304335534480665e-14,1.0587618250179208e-20,9.61723329979876e-14
sub-04,MGOG,RELAY__UNC_FLEX,0.7993757333634471,2.576688073503261e-27,3.7051603801040896e-09,2.6174507515206863e-23,0.7993757333634471,6.8301907438846425e-25,0.20062426274850334,1.828890515335673e-10,4.885299772187976e-18
sub-05,MDOD,NULL__UNC_INTRA_ONLY,0.1250813146211912,0.1250813146211912,0.12495164353526637,0.12505049710284227,0.12491654474070013,0.1250813146211912,0.12495164353526637,0.12505049710284227,0.12491654474070013
sub-05,MDOG,RELAY__UNC_FLEX,0.5155286097281453,9.190457456672889e-17,1.5909654444565563e-17,0.4797052492196357,0.5155286097281453,4.401796305320766e-18,1.3831831994339734e-18,0.0008972756631880611,0.003868865389030819
sub-05,MGOD,SENSORY_RELAY__UNC_FLEX,0.574532004274466,8.802986189784369e-11,9.430005297550353e-10,8.11587822126312e-12,1.1108624600666757e-10,2.4558428910094663e-13,3.728187161539197e-13,0.42546799457468315,0.574532004274466
sub-05,MGOG,SENSORY_RELAY__UNC_FLEX,1.0,1.2345431555266133e-135,8.19181541259316e-49,2.3582168087417845e-133,3.405006163007846e-27,8.092265876724071e-131,1.0870770757400604e-47,1.0585705979106858e-106,1.0
sub-06,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999995332704503,1.461018628978347e-12,1.1646511007463797e-07,2.290787584618679e-12,1.0120116948852494e-07,2.382367272659616e-12,1.5442301018433024e-07,9.463412575940823e-08,0.9999995332704503
sub-06,MDOG,SENSORY_RELAY__UNC_INTRA_ONLY,0.7887515977071962,6.67845496050554e-16,3.6690627471403505e-17,6.516612745040337e-15,8.670226674232927e-16,4.192358036786553e-20,1.1773601810716601e-20,0.7887515977071962,0.21124840229279584
sub-06,MGOD,SENSORY_RELAY__UNC_FLEX,0.999999820337606,1.2615280112182834e-54,1.2403006088596942e-50,5.623147712171075e-25,1.796623939579021e-07,2.0003047791649513e-38,5.999625669687028e-20,6.138207937128802e-18,0.999999820337606
sub-06,MGOG,SENSORY_RELAY__UNC_FLEX,0.9999999999999996,3.048066083779541e-70,1.4168288586012953e-23,1.027117806920085e-66,6.799110430012986e-25,4.6397414711294613e-66,4.479360299163449e-16,1.0793674999902997e-62,0.9999999999999996
sub-07,MDOD,SENSORY_RELAY__UNC_FLEX,0.9972898976389385,1.3465531418332975e-71,2.915831829415655e-09,1.4959475859478445e-71,0.002710099444482921,1.6973433307113646e-75,7.466344069138742e-13,4.0420396317741686e-67,0.9972898976389385
sub-07,MDOG,SENSORY_RELAY__UNC_FLEX,0.877163802941198,8.145047794669956e-51,5.0746359105202595e-48,1.7608143142183722e-33,3.316763339340737e-29,5.211579933317221e-43,3.9697089623673415e-41,0.12283619705880192,0.877163802941198
sub-07,MGOD,SENSORY_RELAY__UNC_FLEX,0.999998828072962,4.10166768147109e-43,3.928687589758602e-36,3.123297436155722e-29,4.9548635546021094e-23,5.000753556049537e-25,3.6696578367301975e-18,1.1719270379512164e-06,0.999998828072962
sub-07,MGOG,SENSORY_RELAY__UNC_FLEX,0.8411295903466647,5.719764966523178e-43,3.934788792018707e-10,1.796288250044559e-41,0.15887040909399447,8.298283178041869e-47,1.6586209091294395e-10,6.077865956882372e-47,0.8411295903466647
sub-08,MDOD,SENSORY_RELAY__UNC_FLEX,0.9204166570416399,2.21167691338148e-24,2.280449406326672e-16,1.0097380812201493e-10,0.0032982543461764087,2.4596381598249753e-09,0.07628508604342346,8.148206034070274e-12,0.9204166570416399
sub-08,MDOG,RELAY__UNC_FLEX,1.0,2.2797978788761686e-96,1.848703600758748e-90,6.179744161543395e-31,1.0,1.2498916748298796e-96,3.198073329506161e-91,3.066201793557177e-94,2.675437951652572e-87
sub-08,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999999999999798,1.1675699155248822e-41,8.979145840720244e-35,1.5565973406574655e-41,5.635462603602836e-36,4.139809801840093e-42,2.1709232426540545e-34,2.0099244400538307e-14,0.9999999999999798
sub-08,MGOG,SENSORY_RELAY__UNC_FLEX,0.9808342394846767,1.4750539081269408e-24,0.002040466460394568,4.7680805048123446e-24,0.0006382617159533134,1.449321426437052e-25,0.016487032338975353,3.504401661784965e-24,0.9808342394846767
sub-13,MDOD,NULL__UNC_FLEX,0.9519696678804032,6.2313748107461e-59,0.9519696678804032,6.49153594470728e-58,0.04802870420668876,6.059856872809856e-63,1.62541057385384e-06,1.148681553404728e-59,2.5023342931743315e-09
sub-13,MDOG,RELAY__UNC_FLEX,0.9995636320479631,6.845654693906847e-20,6.863261619740504e-16,4.884074540971534e-09,0.9995636320479631,1.6857790770161513e-10,2.3461940325870604e-06,2.4906811055917676e-08,0.00043399179854013674
sub-13,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999999999999998,7.522299130696117e-24,1.9097113972682959e-19,1.7517285034267315e-21,1.6170704489038645e-16,9.111271710417873e-35,2.9254879944816836e-31,7.634754973335536e-24,0.9999999999999998
sub-13,MGOG,RELAY__UNC_FLEX,0.9976249505755851,9.031906694936805e-69,0.0009179396740860407,1.504046277470248e-69,0.9976249505755851,2.378940471045778e-72,2.8277961999273856e-08,4.457345609849443e-58,0.0014570814723669154
sub-14,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999991591483517,9.86154279771024e-95,1.1821324201238112e-21,7.903478748046457e-79,8.907755313523057e-14,7.088297739535636e-89,8.408515591669912e-07,2.1268385018502744e-84,0.9999991591483517
sub-14,MDOG,RELAY__UNC_FLEX,0.9996812070879998,6.388709049202107e-56,1.347699721943818e-26,1.840477326697264e-51,0.9996812070879998,2.5087927518845734e-53,1.737899882926845e-17,6.539164541058176e-50,0.0003187929120002897
sub-14,MGOD,RELAY__UNC_FLEX,0.9999999313720815,9.17458285389011e-42,1.7493561946311506e-19,2.2862934333811347e-39,0.9999999313720815,9.19354225371688e-46,1.0301797148416822e-20,7.669634292131944e-29,6.862791839189365e-08
sub-14,MGOG,RELAY__UNC_FLEX,0.9841023314309651,4.238612830289287e-51,0.015663566420892124,4.138559068322091e-51,0.9841023314309651,4.46960303405052e-51,3.757605646152319e-10,1.0627519982417549e-45,0.0002341017723820458
sub-19,MDOD,RELAY__UNC_FLEX,0.9999999999941793,7.272455032366385e-143,2.7597996857430078e-30,2.6026739536203883e-111,0.9999999999941793,6.609153378061704e-143,5.401814148327759e-38,5.512308522214044e-79,5.820719108793477e-12
sub-19,MDOG,SENSORY_RELAY__UNC_FLEX,1.0,1.9012207333085344e-97,4.350860844451139e-90,1.8727000998791186e-41,7.103063087595355e-35,7.595962337925375e-142,1.2195463794884841e-88,5.692480714825252e-39,1.0
sub-19,MGOD,RELAY__UNC_INTRA_ONLY,1.0,7.124264982984577e-42,1.845100137741505e-18,1.0,4.15000006907786e-21,1.1971941532421432e-42,6.662878904770135e-31,7.822479622782168e-42,2.274765796562787e-19
sub-19,MGOG,SENSORY_RELAY__UNC_FLEX,0.9999999999999998,1.5884955050004257e-57,8.125671859902208e-17,1.663732502631453e-57,4.621634923081941e-17,3.730026630521858e-58,1.7788791149064363e-17,5.5411455186531005e-52,0.9999999999999998
sub-20,MDOD,SENSORY_RELAY__UNC_FLEX,1.0,3.70981916348206e-137,1.0889317529762174e-40,2.054310622281685e-136,1.1827943308989242e-41,1.1902220863954793e-138,1.6653233637201966e-41,3.44778256425068e-139,1.0
sub-20,MDOG,RELAY__UNC_FLEX,0.99998934350837,1.1466735183237272e-60,1.0780677269346707e-40,1.1680093308066512e-51,0.99998934350837,1.1919626486217998e-58,1.4443692508347908e-12,4.3588490526349544e-46,1.065649018572885e-05
sub-20,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999999999999729,6.656302516201767e-54,8.954656974616013e-23,5.365059508566818e-54,2.7098348916400175e-14,2.039020046233445e-51,2.196031846971068e-19,2.7657817431107893e-39,0.9999999999999729
sub-20,MGOG,SENSORY_RELAY__UNC_FLEX,0.9999980358827669,6.751032075007241e-61,2.4446973038554087e-26,8.273922072335936e-52,1.3390832735612255e-09,1.702528261824099e-51,1.962778149832486e-06,8.97061732296032e-41,0.9999980358827669
sub-26,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999752996327508,1.1731365593465318e-90,4.069385171101104e-06,9.232886449448101e-91,3.252302837925473e-06,6.350003370557146e-90,1.7378679240184963e-05,2.556551599109007e-90,0.9999752996327508
sub-26,MDOG,SENSORY_RELAY__UNC_FLEX,1.0,4.625478107324939e-142,8.555847242975e-134,1.7814792466798215e-106,8.853342554482555e-81,1.9669138088709967e-103,2.208197048877329e-91,1.119416143472735e-41,1.0
sub-26,MGOD,NULL__UNC_FLEX,0.7964065558765783,0.18263956921163157,0.7964065558765783,0.0033255280697924695,0.012023031791297042,1.3153729560042016e-09,5.781050268197061e-10,0.005011045790149339,0.0005942673670732024
sub-26,MGOG,SENSORY_RELAY__UNC_FLEX,1.0,3.4736720884169313e-71,1.6585504085874355e-36,4.129318127420936e-70,5.9262266307592306e-37,1.453135659958149e-68,1.370637872880136e-36,3.2693330609415646e-37,1.0
sub-31,MDOD,SENSORY_RELAY__UNC_FLEX,0.9813378094356975,1.2444480630065878e-73,4.63614191285457e-15,3.942061548332028e-65,1.3485778076457897e-07,1.0779523878835703e-60,0.01866205570651709,2.7591503133657774e-56,0.9813378094356975
sub-31,MDOG,NULL__UNC_FLEX,0.6637040804623606,0.04988266033869865,0.6637040804623606,0.013757438799150045,0.2722457028507468,1.2177908760045885e-08,0.00017719930200188374,1.9452412163838827e-08,0.0002328866167212122
sub-31,MGOD,RELAY__UNC_FLEX,1.0,6.321579826973797e-74,4.3989846663778635e-70,4.274672399194524e-53,1.0,8.142487216421317e-65,1.6989256054301269e-56,8.72632956582177e-56,1.4182369457151127e-45
sub-31,MGOG,NULL__UNC_INTRA_ONLY,0.12507401874548557,0.12507401874548557,0.1249559775180933,0.12504597728978978,0.12492402644663132,0.12507401874548557,0.1249559775180933,0.12504597728978978,0.12492402644663132
