Task,Design,Parameter,Kind,Connection,Condition,Estimate,Pp,Direction,SelfConnection
MDOD,Mean,"A(1,1)",Intrinsic A,M1_L → M1_L,,-1.3278551943193364,1.0,TDC > CCD,True
MDOD,Mean,"A(2,2)",Intrinsic A,M1_R → M1_R,,-0.8184466655350913,1.0,TDC > CCD,True
MDOD,Mean,"A(1,3)",Intrinsic A,A1_L → M1_L,,1.4596367188208073e-06,0.0,CCD > TDC,False
MDOD,Mean,"A(3,3)",Intrinsic A,A1_L → A1_L,,-0.41344895619968636,1.0,TDC > CCD,True
MDOD,Mean,"A(2,4)",Intrinsic A,A1_R → M1_R,,0.06536623415548516,0.7890877745385413,CCD > TDC,False
MDOD,Mean,"A(4,4)",Intrinsic A,A1_R → A1_R,,0.15817971831591424,0.9672977127024643,CCD > TDC,True
MDOD,Mean,"A(1,5)",Intrinsic A,V1_L → M1_L,,7.07808373759314e-07,0.0,CCD > TDC,False
MDOD,Mean,"A(5,5)",Intrinsic A,V1_L → V1_L,,-0.4062253058872083,1.0,TDC > CCD,True
MDOD,Mean,"A(2,6)",Intrinsic A,V1_R → M1_R,,1.3198317419962427e-07,0.0,CCD > TDC,False
MDOD,Mean,"A(6,6)",Intrinsic A,V1_R → V1_R,,2.1295298925105472e-07,0.0,CCD > TDC,True
MDOD,Mean,"B(2,1,1)",Modulatory B,M1_L → M1_R,"visual L, uncrossed",-2.7316071102885463e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(1,5,1)",Modulatory B,V1_L → M1_L,"visual L, uncrossed",-2.0546423848025428e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(2,5,1)",Modulatory B,V1_L → M1_R,"visual L, uncrossed",-2.011171227576405e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(6,5,1)",Modulatory B,V1_L → V1_R,"visual L, uncrossed",8.12288461083758e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(2,6,1)",Modulatory B,V1_R → M1_R,"visual L, uncrossed",6.955159391693521e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(1,2,2)",Modulatory B,M1_R → M1_L,"visual R, uncrossed",-6.422410206248936e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(1,5,2)",Modulatory B,V1_L → M1_L,"visual R, uncrossed",-1.0419220020483985e-06,0.0,TDC > CCD,False
